provinsi,kabupaten_kota,derajat_desentralisasi_2023,rasio_kemandirian_2023,tingkat_penyerapan_pendapatan,tingkat_penyerapan_belanja,rasio_pajak,rasio_efektivitas_pad,rasio_efektivitas_pajak,rasio_belanja_thd_pendapatan,log_derajat_desentralisasi_2023,log_rasio_kemandirian_2023,log_tingkat_penyerapan_pendapatan,log_tingkat_penyerapan_belanja,log_rasio_pajak,log_rasio_efektivitas_pad,log_rasio_efektivitas_pajak,log_rasio_belanja_thd_pendapatan
Bengkulu,Kab. Bengkulu Selatan,5.27,5.61,105.94,102.58,1.25,126.77,139.35,99.87,1.8357763546448294,1.888583653863595,4.672267929520586,4.640344260995746,0.8109302162163288,4.850231772603232,4.9441393028078915,4.613832559066744
Bengkulu,Kab. Bengkulu Tengah,3.44,3.67,102.06,101.57,1.49,115.86,125.2,102.91,1.4906543764441333,1.541159071680806,4.635311342900078,4.630545492319319,0.9122827104766162,4.760976637126291,4.837867950107113,4.643525139864555
Bengkulu,Kab. Bengkulu Utara,5.99,6.47,104.34,102.41,1.69,87.62,87.42,101.19,1.944480556245719,2.010894999144726,4.657193214055243,4.638701669196884,0.9895411936137477,4.484357565771344,4.482098188398097,4.626833825624118
Bengkulu,Kab. Kaur,3.82,4.1,100.45,96.95,0.94,92.53,112.45,99.65,1.5727739280625088,1.62924053973028,4.619566066271823,4.58445714439055,0.6626879730752367,4.53828224044646,4.731362211225851,4.611649152085801
Bengkulu,Kab. Kepahiang,5.77,6.18,105.26,103.53,1.18,119.75,123.56,99.94,1.9125010869241836,1.9712993830601329,4.665888921022797,4.649474111544616,0.7793248768009976,4.793722292532682,4.824787527525743,4.614526280912116
Bengkulu,Kab. Lebong,3.42,3.68,96.67,93.0,1.11,46.07,104.12,100.55,1.4861396960896067,1.5432981099295553,4.581594449459386,4.543294782270004,0.7466879474879752,3.851635855413051,4.655102554736301,4.620551288026394
Bengkulu,Kab. Mukomuko,6.7,7.25,102.36,93.15,2.77,99.66,154.46,96.35,2.0412203288596382,2.1102132003465894,4.638218040034292,4.544889255103161,1.3270750014599193,4.611748501348214,5.0463884638020735,4.578312731818208
Bengkulu,Kab. Rejang Lebong,6.26,6.79,102.66,95.76,1.84,94.35,120.44,98.0,1.9823798288367047,2.052840859882657,4.641116312761561,4.572233685741827,1.0438040521731147,4.557554332046428,4.79942031364732,4.59511985013459
Bengkulu,Kab. Seluma,2.88,3.0,101.18,97.3,1.31,89.51,75.14,100.26,1.355835153635182,1.3862943611198906,4.626735963902652,4.5880240271531205,0.8372475245337022,4.505460341839079,4.332573750954351,4.617691466541763
Bengkulu,Kota Bengkulu,16.66,20.31,90.72,89.39,11.04,61.74,62.5,97.27,2.8713021951758138,3.0591764461105257,4.518740457989703,4.50413364181032,2.488234439880675,4.138999202762532,4.151039905898646,4.587718792374336
DI Yogyakarta,Kab. Bantul,24.31,32.25,105.79,100.21,11.17,106.42,113.85,99.81,3.2311995745570328,3.5040547671018634,4.670864289183454,4.61719756620081,2.498973906999436,4.676746384477314,4.743626929135107,4.61323755706585
DI Yogyakarta,Kab. Gunung Kidul,13.92,16.23,102.6,98.43,4.03,101.63,110.55,100.44,2.702702594775615,2.8466520505398383,4.640537329825382,4.599453878991982,1.6154199841116479,4.631130287657623,4.714472920878541,4.6194674906889155
DI Yogyakarta,Kab. Kulon Progo,19.11,23.76,105.82,104.4,5.7,115.19,92.22,99.93,3.001217203784561,3.2092294478163956,4.671145174911624,4.657762636107262,1.9021075263969205,4.755226782194771,4.534962290944595,4.614427207250769
DI Yogyakarta,Kab. Sleman,36.65,58.14,105.48,101.11,27.02,106.53,109.9,100.94,3.6283329542459026,4.079907514424331,4.667957174086856,4.6260506635674465,3.332918540908861,4.677769878402435,4.7086288943563215,4.624384404911896
DI Yogyakarta,Kota Yogyakarta,40.25,67.37,109.82,103.19,27.59,120.78,123.44,98.57,3.71965111278069,4.2249341319257026,4.707907263439203,4.646216155424092,3.3530570063342204,4.802216138180428,4.8238236720294365,4.600860914399993
Gorontalo,Kab. Boalemo,8.86,9.72,102.18,100.32,1.03,130.37,65.36,98.19,2.288486168614544,2.372111155642656,4.636475035816504,4.618283825133474,0.708035793053696,4.878017769481417,4.195094465322244,4.597037202757902
Gorontalo,Kab. Bone Bolango,13.4,15.76,103.04,108.19,1.85,117.5,84.45,104.86,2.667228206581955,2.818995095053937,4.64477544058045,4.6930894840259745,1.0473189942805592,4.774912960575186,4.4479314095616,4.662117466429842
Gorontalo,Kab. Gorontalo,11.2,12.7,94.72,97.78,2.46,74.45,73.87,99.34,2.501435951739211,2.617395832834079,4.561427263040173,4.592895155112479,1.2412685890696329,4.323470185213858,4.315753276242594,4.608564419056107
Gorontalo,Kab. Gorontalo Utara,4.51,4.78,100.72,93.46,1.11,107.87,70.92,105.64,1.706564623164823,1.7544036826842861,4.622223940553919,4.548176464467971,0.7466879474879752,4.690154509893088,4.275554390163365,4.6694586758704535
Gorontalo,Kab. Pohuwato,9.6,10.8,100.17,98.55,2.07,102.33,96.59,100.89,2.3608540011180215,2.468099531471619,4.616802270217799,4.6006600305102054,1.1216775615991057,4.637927750226264,4.5807750291533695,4.6238937999861935
Gorontalo,Kota Gorontalo,31.75,47.19,102.86,100.22,8.65,116.92,91.56,99.93,3.488902962081261,3.8751515306522415,4.6430438384161725,4.617296365785932,2.2669579153508947,4.770006428441026,4.527857082885421,4.614427207250769
Jambi,Kab. Batang Hari,9.71,10.77,101.58,97.72,2.95,87.89,79.6,106.96,2.3711778844596574,2.4655539212721855,4.630642981961122,4.592287560157078,1.3737155789130306,4.487399650253583,4.389498649512583,4.681760788149804
Jambi,Kab. Bungo,12.17,14.13,113.94,111.31,3.51,102.71,80.9,104.16,2.5779415157551897,2.7166795278002644,4.744410253079596,4.721262904974945,1.506297153514587,4.641598542601643,4.405498990859024,4.655482999861681
Jambi,Kab. Kerinci,4.57,4.83,103.4,100.19,1.39,196.17,123.2,100.3,1.7173950539391927,1.763017000362401,4.648229675448539,4.616999937741668,0.8712933659434192,5.284066300778177,4.821893169499378,4.618086411254637
Jambi,Kab. Merangin,6.8,7.38,102.03,96.32,2.19,86.45,68.67,95.48,2.0541237336955462,2.1258479144939915,4.635020207956977,4.578004517915322,1.1600209167967532,4.471067201464611,4.2437698090420275,4.5693357329788755
Jambi,Kab. Muaro Jambi,7.8,8.53,103.19,98.69,5.34,118.18,133.35,98.75,2.174751721484161,2.254444717666111,4.646216155424092,4.602065371034612,1.8468787684491346,4.780634955318833,4.9004483350615,4.602667055769973
