provinsi;kabupaten_kota;derajat_desentralisasi_2023;rasio_kemandirian_2023;tingkat_penyerapan_pendapatan;tingkat_penyerapan_belanja;rasio_pajak;rasio_efektivitas_pad;rasio_efektivitas_pajak;rasio_belanja_thd_pendapatan
Jawa Tengah;Kota Magelang;32.06;47.33;107.23;100.69;5.73;116.89;134.36;100.7
Jawa Tengah;Kota Pekalongan;25.61;34.5;106.26;102.33;11.22;109.36;116.08;100.33
Jawa Tengah;Kota Salatiga;28.82;40.5;108.92;103.75;8.37;125.46;126.1;102.79
Jawa Tengah;Kota Semarang;52.97;112.61;110.86;107.16;39.84;98.93;97.39;99.77
Jawa Tengah;Kota Surakarta;34.55;52.83;94.43;89.09;22.18;83.75;84.43;105.94
Jawa Tengah;Kota Tegal;32.01;47.08;94.81;87.74;11.09;80.92;87.87;102.17
Jawa Timur;Kab. Bangkalan;17.13;20.67;102.02;97.67;2.88;131.43;107.16;99.69
Jawa Timur;Kab. Banyuwangi;16.82;20.61;106.25;111.89;8.37;98.74;115.48;107.19
Jawa Timur;Kab. Blitar;16.36;19.56;104.48;99.65;5.11;107.38;98.33;104.1
Jawa Timur;Kab. Bojonegoro;14.55;17.29;115.28;91.02;2.81;97.28;123.11;105.51
Jawa Timur;Kab. Bondowoso;10.6;12.1;101.58;98.31;2.18;95.99;90.13;101.41
Jawa Timur;Kab. Gresik;34.28;52.24;88.11;83.67;23.22;72.69;84.38;100.07
Jawa Timur;Kab. Jember;19.32;23.95;100.88;90.05;7.28;89.75;83.21;96.08
Jawa Timur;Kab. Jombang;21.19;26.88;108.03;100.12;6.27;117.49;125.8;99.19
Jawa Timur;Kab. Kediri;20.11;25.17;111.35;97.23;8.5;127.12;111.7;103.97
Jawa Timur;Kab. Lamongan;16.47;19.73;99.18;99.41;4.99;107.04;104.49;98.51
Jawa Timur;Kab. Lumajang;15.91;18.95;103.99;89.98;4.84;102.2;86.75;98.2
Jawa Timur;Kab. Madiun;15.44;18.32;105.46;101.59;4.79;115.51;114.91;101.01
Jawa Timur;Kab. Magetan;12.19;14.13;105.27;99.88;3.69;101.31;108.43;103.65
Jawa Timur;Kab. Malang;19.17;25.9;100.05;90.8;10.38;81.8;95.27;98.37
Jawa Timur;Kab. Mojokerto;25.15;33.61;104.08;100.33;14.17;103.68;93.39;104.08
Jawa Timur;Kab. Nganjuk;14.98;18.01;116.71;105.07;5.56;112.42;126.22;100.6
Jawa Timur;Kab. Ngawi;12.8;14.75;100.61;97.76;3.94;111.89;120.95;101.57
Jawa Timur;Kab. Pacitan;12.48;14.27;104.39;107.12;2.54;107.14;108.33;103.58
Jawa Timur;Kab. Pamekasan;14.97;17.61;104.47;92.71;2.65;123.65;101.33;99.76
Jawa Timur;Kab. Pasuruan;22.56;29.88;104.09;95.42;13.76;121.26;116.93;102.04
Jawa Timur;Kab. Ponorogo;15.65;18.58;102.65;97.04;5.5;117.06;132.43;107.05
Jawa Timur;Kab. Probolinggo;13.06;15.04;106.72;100.36;3.87;117.09;128.67;103.34
Jawa Timur;Kab. Sampang;16.49;19.75;107.62;102.25;1.83;173.66;107.22;99.41
Jawa Timur;Kab. Sidoarjo;40.85;69.15;105.41;95.99;25.95;105.98;115.28;99.63
Jawa Timur;Kab. Situbondo;14.66;17.18;104.33;99.28;3.3;94.61;89.51;104.7
Jawa Timur;Kab. Sumenep;11.55;13.14;106.8;98.68;1.85;122.51;127.43;100.47
Jawa Timur;Kab. Trenggalek;14.21;16.64;103.86;104.02;2.95;95.49;126.82;103.15
Jawa Timur;Kab. Tuban;20.32;25.51;109.47;111.67;10.66;110.93;103.85;106.62
Jawa Timur;Kab. Tulungagung;25.31;33.89;110.39;106.62;4.88;127.49;115.22;102.59
Jawa Timur;Kota Batu;21.21;27.19;103.92;99.92;19.43;88.91;95.3;105.99
Jawa Timur;Kota Blitar;18.48;22.94;102.34;93.91;6.07;93.32;124.88;103.25
Jawa Timur;Kota Kediri;23.76;31.16;107.19;89.79;9.45;111.25;112.32;105.98
Jawa Timur;Kota Madiun;22.87;29.64;104.35;94.61;10.16;100.16;123.38;106.92
Jawa Timur;Kota Malang;33.78;51.02;91.53;92.35;26.03;67.18;61.04;110.74
Jawa Timur;Kota Mojokerto;24.49;32.86;105.19;96.37;6.79;113.88;115.75;110.45
Jawa Timur;Kota Pasuruan;18.01;22.26;103.35;88.74;5.57;111.49;103.36;107.34
Jawa Timur;Kota Probolinggo;21.66;27.65;108.99;98.86;5.85;104.24;95.97;105.0
Jawa Timur;Kota Surabaya;60.09;150.58;90.57;84.42;47.51;87.51;89.03;99.36
Kalimantan Barat;Kab. Bengkayang;6.56;7.02;101.18;100.23;1.65;106.27;82.91;104.09
Kalimantan Barat;Kab. Kapuas Hulu;4.26;4.48;106.5;104.45;1.06;105.01;101.07;99.29
Kalimantan Barat;Kab. Kayong Utara;6.03;6.42;108.76;107.73;0.81;167.37;105.89;102.6
Kalimantan Barat;Kab. Ketapang;10.73;12.03;117.83;105.2;5.69;156.82;117.12;94.72
Kalimantan Barat;Kab. Kubu Raya;10.34;11.76;103.46;91.63;8.74;95.42;108.52;92.18
Kalimantan Barat;Kab. Landak;4.68;5.0;102.75;97.87;1.72;63.98;53.16;101.99
Kalimantan Barat;Kab. Melawi;3.31;3.45;110.8;104.82;1.57;63.42;59.33;96.88
Kalimantan Barat;Kab. Mempawah;13.89;16.39;106.74;103.95;7.18;148.98;153.94;102.18
Kalimantan Barat;Kab. Sambas;12.36;14.4;100.34;100.88;4.23;97.72;79.23;101.11
Kalimantan Barat;Kab. Sanggau;8.43;9.2;110.61;97.51;3.47;113.1;140.71;97.82
Kalimantan Barat;Kab. Sekadau;6.51;7.02;105.41;106.02;2.97;110.29;124.4;97.36
Kalimantan Barat;Kab. Sintang;8.5;9.31;104.78;97.75;2.83;98.6;75.33;95.75
Kalimantan Barat;Kota Pontianak;31.64;46.56;99.02;95.97;21.15;96.17;91.89;93.86
Kalimantan Barat;Kota Singkawang;24.85;33.06;106.59;111.43;7.81;115.56;104.47;102.96
Kalimantan Selatan;Kab. Balangan;4.7;4.95;141.74;110.87;0.5;190.51;114.05;83.04
Kalimantan Selatan;Kab. Banjar;11.03;12.51;109.26;100.54;4.65;112.44;115.56;95.8
Kalimantan Selatan;Kab. Barito Kuala;6.42;6.86;109.83;109.9;1.91;139.82;110.34;103.86
Kalimantan Selatan;Kab. Hulu Sungai Selatan;12.18;13.88;134.03;112.25;1.04;87.5;108.79;92.41
Kalimantan Selatan;Kab. Hulu Sungai Tengah;15.4;18.39;118.72;93.58;1.06;164.69;118.92;89.53
Kalimantan Selatan;Kab. Hulu Sungai Utara;10.88;12.21;132.86;125.22;0.93;109.01;92.11;99.25
